id,Name,Description,Status,Author,Run_status,Last Run,created at,updated at,Test_type,Tags,Preconditions,Value Score,Scenario,Automation candidate,Feature,Sub Feature,Test Level,Comments,Step name,Step description,Step expected_results,Step position,Traceability - Requirements,Traceability - Issues
1,Login Validations,"Validate manually that the login operation is working.

Make sure that:
* Login with valid user
* Login with invalid user
* Login with username (special characters)

**Bold**

*Italic*",Draft,Cristiano Cunha,PASSED,10-Jan-2024  11:12,09-Jan-2024  09:37,15-Jan-2024  12:00,ScriptedTest,"","Application is accessible and the main page is loaded

**Bold**

*Italic*

Bulllets:
1. one
2. two
3. three",N/A,"",no,,,,"",Open application main page,Access main page of the application,The applciation main page appear with the option to login,1,1,""
"","","","","","","","","","","","","","","","","","","",Insert username in the login form,"Insert ""Manuel"" in the username field","""Manuel"" appears in the usernam field",2
"","","","","","","","","","","","","","","","","","","",Insert password in the password field,"Insert ""password"" in the password field",The password is hidden in the password field (we can only see a serie of *),3
"","","","","","","","","","","","","","","","","","","",Submit login,"Press the ""login"" button",The application changes to a page where the user is logged in.,4
2,Logout validation,Validate that a logged in user can logout.,Draft,Cristiano Cunha,PASSED,09-Jan-2024  16:07,09-Jan-2024  09:42,09-Jan-2024  09:42,ScriptedTest,"","",N/A,"",no,,,,"",,,,1,1,""
"","","","","","","","","","","","","","","","","","","",Press the logout button,"Press the ""logout"" button",User is redirected to the main page in **logged** out state,2
3,BDD Test,"Description of the BDD Test
**Bold**
*Italic*

Bullet list:
1. one
2. two three",Draft,Cristiano Cunha,NO RUN,,09-Jan-2024  11:27,11-Jan-2024  11:17,BDDTest,"","",N/A,"Scenario: BDD Test
Given I access the main page of the application
When I click the listing link
Then I'm taken to the listing page",no,,,,"",Given ,I access the main page of the application,"",1,2,""
"","","","","","","","","","","","","","","","","","","",When ,I click the listing link,"",2
"","","","","","","","","","","","","","","","","","","",Then ,I'm taken to the listing page,"",3
4,API Test,API tests - Automated,Draft,Cristiano Cunha,NO RUN,,09-Jan-2024  11:29,09-Jan-2024  11:29,ApiTest,"","",N/A,"",no,,,,"", , , , ,"",""
5,Explore the listing page,"",Draft,Cristiano Cunha,NO RUN,,09-Jan-2024  16:03,09-Jan-2024  16:03,ExploratoryTest,"","",N/A,"",no,,,,"", , , , ,2,""
6,Scripted test AI,Scripted test generated by AI (Smart Fox),Draft,Cristiano Cunha,NO RUN,,09-Jan-2024  16:21,09-Jan-2024  16:21,ScriptedTest,"","",N/A,"",no,,,,"",Initialization,Start the application to test the baseline state before performing any scripted actions.,The application launches successfully and presents the initial screen.,1,"",""
"","","","","","","","","","","","","","","","","","","",Navigate to Feature X,"Use the navigation menu to go to Feature X, which is to be tested.",The Feature X page is displayed correctly without any errors.,2
"","","","","","","","","","","","","","","","","","","",Input Test Data,Enter the required test data in the input fields for Feature X.,The data is accepted by the input fields without validation errors.,3
"","","","","","","","","","","","","","","","","","","",Execute Function,"Trigger the function linked with Feature X using the appropriate action (e.g., click the 'Run' button).","The function executes as expected, and the appropriate success message is displayed.",4
"","","","","","","","","","","","","","","","","","","",Verify Outcome,Check the output or changes caused by the execution of Function in Feature X.,The output or changes are as per the expected outcomes defined in the test case.,5
7,Detail page validations,As I User I want to be able to enter a detail page of a product to see more information on it and be able to act upon it,Draft,Cristiano Cunha,NO RUN,,10-Jan-2024  09:11,15-Jan-2024  11:36,ScriptedTest,"","Detail page precondition description and defintion.

",N/A,"",no,,,,"",,,,1,3,""
"","","","","","","","","","","","","","","","","","","",Go to listing page,"Press the Listing page link ont the page.

**Bold**

*Italic*

Bullets:
1. one
2. two 
3. three",The application reloads and and the user is taken to the listing page,2
"","","","","","","","","","","","","","","","","","","",Choose the first item,Press the first item in the list,The application loads the detail page of the item,3
8,FireCracker,FireCracker test description,Draft,Cristiano Cunha,NO RUN,,15-Jan-2024  15:57,15-Jan-2024  15:58,FirecrackerTest,"","",N/A,"",no,,,,"", , , , ,"",""
9,xBot,xBot description,Draft,Cristiano Cunha,NO RUN,,15-Jan-2024  15:57,15-Jan-2024  15:57,xBotTest,"","",N/A,"",no,,,,"", , , , ,"",""
